player,birth_date,active_from,active_to,draft_year,round,pick,team,college,yrs,g,mp,pts,trb,ast,fg,3p,ft,minuts_played,points,total_rebounds,assists,win_share,win_sharess_48,box_plus_minus,value_over_replacement,height,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg
A.J. Bramlett,"January 10, 1977",2000,2000,1999,2,39,CLE,University of Arizona,1.0,8.0,61.0,8.0,22.0,0.0,0.19,,,7.6,1.0,2.8,0.0,-0.2,-0.129,-16.8,-0.2,6-10,C,227.0,0.0,,0.0,0.19,0.19,0.5,2.6,,0.0,0.0,8,1.0
A.J. English,"July 11, 1967",1991,1992,1990,2,37,WSB,Virginia Union University,2.0,151.0,3108.0,1502.0,315.0,320.0,0.435,0.138,0.778,20.6,9.9,2.1,2.1,1.1,0.017,-5.1,-2.4,6-3,G,175.0,0.4,0.138,0.1,0.43799999999999994,0.435,4.1,9.4,0.778,1.7,2.2,151,9.9
A.J. Guyton,"February 12, 1978",2001,2003,2000,2,32,CHI,Indiana University,3.0,80.0,1246.0,442.0,80.0,147.0,0.377,0.37799999999999995,0.8220000000000001,15.6,5.5,1.0,1.8,0.3,0.01,-5.4,-1.1,6-1,G,180.0,2.4,0.37799999999999995,0.9,0.46,0.377,2.1,5.5,0.8220000000000001,0.5,0.6,80,5.5
A.J. Hammons,"August 27, 1992",2017,2017,2016,2,46,DAL,Purdue University,1.0,17.0,77.0,24.0,20.0,2.0,0.409,0.667,0.2,4.5,1.4,1.2,0.1,0.0,0.009000000000000001,-5.7,-0.1,7-0,C,260.0,0.5,0.5,0.2,0.46399999999999997,0.405,0.8,1.9,0.45,0.4,0.9,22,2.2
A.J. Price,"October 7, 1986",2010,2015,2009,2,52,IND,University of Connecticut,6.0,261.0,3929.0,1523.0,377.0,567.0,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.057999999999999996,-2.4,-0.4,6-2,G,181.0,2.6,0.316,0.8,0.456,0.38,2.1,5.5,0.742,0.8,1.1,261,5.8
Aaron Brooks,"January 14, 1985",2008,2018,2007,1,26,HOU,University of Oregon,9.0,583.0,12876.0,6063.0,1034.0,1862.0,0.414,0.369,0.841,22.1,10.4,1.8,3.2,19.2,0.07200000000000001,-1.6,1.3,6-0,G,161.0,3.4,0.37,1.3,0.488,0.413,3.5,8.5,0.8370000000000001,1.4,1.7,644,9.7
Aaron Gordon,"September 16, 1995",2015,2018,2014,1,4,ORL,University of Arizona,3.0,164.0,3689.0,1392.0,856.0,233.0,0.455,0.3,0.67,22.5,8.5,5.2,1.4,7.7,0.10099999999999999,0.0,1.8,6-9,F,220.0,3.0,0.308,0.9,0.5,0.451,4.3,9.6,0.6990000000000001,1.9,2.7,261,11.4
Aaron Gray,"December 7, 1984",2008,2014,2007,2,49,CHI,University of Pittsburgh,7.0,318.0,3851.0,1066.0,1190.0,207.0,0.509,0.0,0.562,12.1,3.4,3.7,0.7,6.2,0.077,-1.8,0.2,7-0,C,270.0,0.0,0.0,0.0,0.509,0.509,1.4,2.7,0.562,0.6,1.0,318,3.4
Aaron McKie,"October 2, 1972",1995,2007,1994,1,17,POR,Temple University,13.0,793.0,19156.0,5871.0,2587.0,2126.0,0.43799999999999994,0.35,0.779,24.2,7.4,3.3,2.7,40.0,0.1,0.7,12.9,6-5,G,209.0,1.4,0.35,0.5,0.475,0.43799999999999994,2.9,6.5,0.779,1.2,1.5,793,7.4
Abdel Nader,"September 25, 1993",2018,2018,2016,2,58,BOS,Iowa State University,,,,,,,,,,,,,,,,,,6-6,F,230.0,1.3,0.371,0.5,0.425,0.33799999999999997,1.0,2.9,0.595,0.5,0.8,46,2.9
Acie Earl,"June 23, 1970",1994,1997,1993,1,19,BOS,University of Iowa,4.0,193.0,2512.0,980.0,517.0,61.0,0.40299999999999997,0.0,0.667,13.0,5.1,2.7,0.3,0.3,0.005,-6.9,-3.1,6-10,F-C,240.0,0.0,0.0,0.0,0.40299999999999997,0.40299999999999997,1.9,4.6,0.667,1.3,2.0,193,5.1
Acie Law,"January 25, 1985",2008,2011,2007,1,11,ATL,Texas A&M University,4.0,188.0,2385.0,725.0,195.0,309.0,0.413,0.235,0.778,12.7,3.9,1.0,1.6,1.6,0.032,-5.4,-2.0,6-3,G,195.0,0.6,0.235,0.1,0.434,0.413,1.4,3.4,0.778,0.9,1.2,188,3.9
Adam Keefe,"February 22, 1970",1993,2001,1992,1,10,ATL,Stanford University,9.0,617.0,10334.0,3107.0,2556.0,427.0,0.502,0.071,0.7140000000000001,16.7,5.0,4.1,0.7,24.9,0.11599999999999999,-0.1,4.9,6-9,F,230.0,0.0,0.071,0.0,0.502,0.502,1.8,3.6,0.7140000000000001,1.4,2.0,617,5.0
Adam Morrison,"July 19, 1984",2007,2010,2006,1,3,CHA,Gonzaga University,3.0,161.0,3278.0,1200.0,342.0,222.0,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,-5.5,-2.9,6-8,F,205.0,2.3,0.331,0.8,0.423,0.373,2.9,7.8,0.71,0.9,1.2,161,7.5
