,Name of Mountain (Highest - Lowest),Elevation (feet),Difficulty 1-7 (1 least difficult),Ascent of Climb,Length of Round Trip,Typical Hike Time,elevation,ascent,length,time
0,Mount Marcy,5344',5,3166',14.8 miles,10 hours,5344,3166,14.8,10.0
1,Algonquin Peak,5114',5,2936',9.6 miles,9 hours,5114,2936,9.6,9.0
2,Mount Haystack,4960',7,3570',17.8 miles,12 hours,4960,3570,17.8,12.0
3,Mount Skylight,4926',7,4265',17.9 miles,15 hours,4926,4265,17.9,15.0
4,Whiteface Mountain,4867',4,2535',10.4 miles,8.5 hours,4867,2535,10.4,8.5
5,Dix Mountain,4857',7,2800',13.2 miles,10 hours,4857,2800,13.2,10.0
6,Gray Peak,4840',7,4178',16 miles,14 hours,4840,4178,16.0,14.0
7,Iroquois Peak,4840',6,3250',11.6 miles,11 hours,4840,3250,11.6,11.0
8,Basin Mountain,4827',6,3650',16.5 miles,11 hours,4827,3650,16.5,11.0
9,Gothics,4736',5,4070',10 miles,9 hours,4736,4070,10.0,9.0
10,Mount Colden,4714',5,2850,15.2 miles,10 hours,4714,2850,15.2,10.0
11,Giant Mountain,4627',4,3050',6 miles,7.5 hours,4627,3050,6.0,7.5
12,Nippletop,4620',5,4050',12.6 miles,10 hours,4620,4050,12.6,10.0
13,Santanoni Peak,4607',5,2860',11.4 miles,10 hours,4607,2860,11.4,10.0
14,Mount Redfield,4606',6,3225',17.5 miles,14 hours,4606,3225,17.5,14.0
15,Wright Peak,4580',4,2400',7 miles,7 hours,4580,2400,7.0,7.0
16,Saddleback Mountain,4515',5,2990',13.4 miles,10 hours,4515,2990,13.4,10.0
17,Panther Peak,4442',6,3762',12 miles,13.5 hours,4442,3762,12.0,13.5
18,Tabletop Mountain,4427',5,3660',15.2 miles,13 hours,4427,3660,15.2,13.0
19,Rocky Peak Ridge,4420',5,4500',13.4 miles,11 hours,4420,4500,13.4,11.0
20,Macomb Mountain,4405',5,2344',8.4 miles,8 hours,4405,2344,8.4,8.0
21,Armstrong Mountain,4400',5,3734',12.7 miles,11 hours,4400,3734,12.7,11.0
22,Hough Peak,4400',6,3200',13.7 miles,11 hours,4400,3200,13.7,11.0
23,Seward Mountain,4361',7,3490',16 miles,17 hours,4361,3490,16.0,17.0
24,Mount Marshall,4360',6,2575',14 miles,11 hours,4360,2575,14.0,11.0
25,Allen Mountain,4340',7,2540',16.2 miles,13 hours,4340,2540,16.2,13.0
26,Big Slide Mountain,4240',4,2800',9.4 miles,8 hours,4240,2800,9.4,8.0
27,Esther Mountain,4240',4,3020',9.4 miles,7.5 hours,4240,3020,9.4,7.5
28,Upper Wolfjaw,4185',5,3619',12.7 miles,11 hours,4185,3619,12.7,11.0
29,Lower Wolfjaw,4175',4,2825',8.7 miles,8 hours,4175,2825,8.7,8.0
30,Street Mountain,4166',6,2115',8.8 miles,9.5 hours,4166,2115,8.8,9.5
31,Phelps Mountain,4161',5,1982',8.8 miles,9 hours,4161,1982,8.8,9.0
32,Mount Donaldson,4140',7,3490',17 miles,17 hours,4140,3490,17.0,17.0
33,Seymour Mountain,4120',6,2370',14 miles,11 hours,4120,2370,14.0,11.0
34,Sawteeth,4100',4,2975',11.8 miles,9 hours,4100,2975,11.8,9.0
35,Cascade Mountain,4098',2,1940',4.8 miles,5 hours,4098,1940,4.8,5.0
36,South Dix,4060',6,3050',11.5 miles,12 hours,4060,3050,11.5,12.0
37,Porter Mountain,4059',3,2700',7.6 miles,5.5 hours,4059,2700,7.6,5.5
38,Mount Colvin,4057',4,2130',10.8 miles,10 hours,4057,2130,10.8,10.0
39,Mount Emmons,4040',7,3490',18 miles,18 hours,4040,3490,18.0,18.0
40,Dial Mountain,4020',5,3450',10 miles,9 hours,4020,3450,10.0,9.0
41,Grace Peak (formerly known as East Dix),4012',6,3002',12.5 miles,12 hours,4012,3002,12.5,12.0
42,Blake,3960',4,3270',13.6 miles,12 hours,3960,3270,13.6,12.0
43,Cliff Mountain,3960',7,2160',17.2 miles,12 hours,3960,2160,17.2,12.0
44,Nye Mountain,3895',6,1844',7.5 miles,8.5 hours,3895,1844,7.5,8.5
45,Couchsachraga Peak,3820',6,3140',15 miles,12 hours,3820,3140,15.0,12.0
