,REQUEST_ID,CREATED_ON,REQUEST_TYPE,REQUEST_ORIGIN,STATUS,DEPARTMENT,NEIGHBORHOOD,COUNCIL_DISTRICT,WARD,TRACT,PUBLIC_WORKS_DIVISION,PLI_DIVISION,POLICE_ZONE,FIRE_ZONE,X,Y,GEO_ACCURACY
0,203364.0,2017-12-15T14:53:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Central Northside,1.0,22.0,42003220600.0,1.0,22.0,1.0,1-7,-80.016716,40.4541445,EXACT
1,200800.0,2017-11-29T09:54:00,Graffiti,Control Panel,1,Police - Zones 1-6,South Side Flats,3.0,16.0,42003160900.0,3.0,16.0,3.0,4-24,-79.9699516755045,40.4292428413532,APPROXIMATE
2,201310.0,2017-12-01T13:23:00,Litter,Call Center,1,DPW - Street Maintenance,Troy Hill,1.0,24.0,42003240600.0,1.0,24.0,1.0,1-2,-79.98585859999999,40.4597155,EXACT
3,200171.0,2017-11-22T14:54:00,Water Main Break,Call Center,0,Pittsburgh Water and Sewer Authority,Banksville,2.0,20.0,42003202300.0,5.0,20.0,6.0,4-9,-80.03420990000001,40.4069693,EXACT
4,193043.0,2017-10-12T12:46:00,Guide Rail,Call Center,1,DPW - Construction Division,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-19,-79.8765820011886,40.4512264315235,EXACT
5,196521.0,2017-10-31T15:17:00,Guide Rail,Call Center,1,DPW - Construction Division,East Hills,9.0,13.0,42003130600.0,2.0,13.0,5.0,3-19,-79.8768234,40.4511652,EXACT
6,193206.0,2017-10-13T09:18:00,Sidewalk/Curb/HC Ramp Maintenance,Call Center,1,DOMI - Permits,Mount Washington,4.0,19.0,42003191500.0,5.0,19.0,3.0,4-27,-80.01249866634829,40.41722989901729,APPROXIMATE
7,195917.0,2017-10-27T10:23:00,Manhole Cover ,Call Center,1,DOMI - Permits,Bluff,6.0,1.0,42003010300.0,3.0,1.0,2.0,2-4,-79.98558587196659,40.4352631774289,EXACT
9,190422.0,2017-09-29T11:46:00,Mayor's Office,Website,1,311,North Oakland,8.0,4.0,42003040400.0,3.0,4.0,4.0,2-9,-79.94974002603021,40.448116568075704,APPROXIMATE
10,189977.0,2017-09-27T17:02:00,Manhole Cover ,Call Center,1,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-80.0002635,40.4432402,EXACT
11,183969.0,2017-08-31T12:07:00,Blocked or Closed Sidewalks,Control Panel,1,DOMI - Permits,Spring Hill-City View,1.0,24.0,42003262000.0,1.0,24.0,1.0,1-24,-79.9940403330765,40.463152782833,APPROXIMATE
12,182748.0,2017-08-28T12:49:00,Abandoned Vehicle (parked on street),Control Panel,0,Police - AVU,Brighton Heights,1.0,27.0,42003270800.0,1.0,27.0,1.0,1-14,-80.0299435001482,40.4865955080747,APPROXIMATE
13,184662.0,2017-09-05T13:49:00,Abandoned Vehicle (parked on street),Call Center,0,Police - AVU,Marshall-Shadeland,1.0,27.0,42003271500.0,1.0,27.0,1.0,1-14,-80.0276344874315,40.4703339352606,APPROXIMATE
14,187861.0,2017-09-19T10:06:00,Manhole Cover ,Call Center,1,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.9963698306885,40.4427103650934,EXACT
16,184586.0,2017-09-05T11:50:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Lower Lawrenceville,7.0,6.0,42003090100.0,2.0,6.0,2.0,3-3,-79.9669065,40.471717299999995,EXACT
17,183065.0,2017-08-29T10:53:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Windgap,2.0,20.0,42003563000.0,5.0,20.0,6.0,1-16,-80.0732129,40.4576333,EXACT
18,119575.0,2016-12-07T12:02:00,Leak,Call Center,0,Pittsburgh Water and Sewer Authority,Brookline,4.0,19.0,42003191900.0,5.0,19.0,6.0,4-26,-80.0303243026245,40.3968010877991,EXACT
19,120187.0,2016-12-12T07:32:00,Leak,Call Center,0,Pittsburgh Water and Sewer Authority,Beechview,4.0,19.0,42003191600.0,5.0,19.0,6.0,4-28,-80.0191464,40.4102264,EXACT
20,176319.0,2017-08-03T14:37:00,Sidewalk/Curb/HC Ramp Maintenance,Control Panel,1,DOMI - Permits,Perry North,1.0,26.0,42003260200.0,1.0,26.0,1.0,1-15,-80.0134105641674,40.4917016842875,APPROXIMATE
21,181351.0,2017-08-22T15:31:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,Carrick,4.0,29.0,42003290400.0,3.0,29.0,3.0,4-23,-79.9817138,40.3817406,EXACT
22,167825.0,2017-07-06T15:26:00,Illegal Dumping,Control Panel,0,DOMI - Permits,East Allegheny,1.0,23.0,42003563200.0,1.0,23.0,1.0,1-20,-79.9977634939938,40.4526950987694,APPROXIMATE
23,177675.0,2017-08-08T14:58:00,Sidewalk Obstruction,Call Center,1,DOMI - Permits,Central Business District,6.0,2.0,42003020100.0,6.0,2.0,2.0,1-3,-79.9947082,40.44141389999999,EXACT
24,175708.0,2017-08-02T10:04:00,Other,Website,1,311,Carrick,4.0,29.0,42003290200.0,3.0,29.0,3.0,4-12,-79.98168074825391,40.4020312192904,APPROXIMATE
25,177411.0,2017-08-08T08:18:00,Street Obstruction/Closure,Call Center,1,DOMI - Permits,North Oakland,8.0,5.0,42003562000.0,3.0,5.0,4.0,2-23,-79.9520215,40.45189,EXACT
26,169804.0,2017-07-13T15:00:00,Blocked or Closed Sidewalks,Control Panel,1,DOMI - Permits,Perry North,1.0,26.0,42003260700.0,1.0,26.0,1.0,1-15,-80.01288181623529,40.485848657957604,APPROXIMATE
